Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,487.0026,2.0,487.0027,,,,490.1174,490.6166,489.6112,490.1173,488.0084,336.0,489.6111,490.6166,491.1162,491.1162,492.9546,1650.6,492.9547,3.0,493.9535,2.0,16.0,76.0,29.0,1.0,1.6,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,493.9537,2.0,493.9539,,,,496.472,496.9712,495.9656,496.4719,494.9596,201.0,495.9655,496.9712,497.4707,497.4707,498.6709,985.2,498.671,3.0,499.6698,2.0,17.0,77.0,21.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,499.67,2.0,499.6701,,,,501.9871,502.4863,501.4808,501.9869,500.6759,202.0,501.4806,502.4864,502.9858,502.9858,504.5386,1317.8,504.5386,5.0,505.5387,2.0,18.0,78.0,25.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,505.539,2.0,505.5391,,,,508.6538,509.153,508.1475,508.6537,506.5449,168.0,508.1474,509.153,509.6525,509.6525,511.0513,1141.9,511.0514,2.0,512.053,2.0,19.0,79.0,9.0,1.0,1.6,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,512.0533,2.0,512.0534,,,,514.5703,515.0683,514.0638,514.5702,513.058,167.0,514.0638,515.0683,515.5677,515.5677,516.6647,922.3,516.6648,2.0,517.665,2.0,20.0,80.0,26.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,517.6653,2.0,517.6654,,,,520.1833,520.6827,519.6769,520.1833,518.6711,169.0,519.6768,520.6827,521.1822,521.1823,522.6378,1240.9,522.638,4.0,523.638,2.0,21.0,81.0,1.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,523.6383,2.0,523.6383,,,,526.5518,527.0512,526.0454,526.5517,524.6428,260.0,526.0452,527.0512,527.5506,527.5506,528.8303,1079.4,528.8305,2.0,529.826,2.0,22.0,82.0,3.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,529.8263,2.0,529.8264,,,,532.3445,532.8437,531.838,532.3444,530.8322,128.0,531.8379,532.8437,533.3431,533.3432,534.4375,887.3,534.4376,2.0,535.4382,2.0,23.0,83.0,6.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,535.4385,2.0,535.4386,,,,538.5532,539.0525,538.0468,538.5531,536.4445,56.0,538.0467,539.0525,539.552,539.5522,539.9481,152.9,539.9481,1.0,540.9465,2.0,24.0,84.0,24.0,1.0,1.6,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,540.9467,2.0,540.9468,,,,543.2638,543.7629,542.7572,543.2635,541.9526,317.0,542.7571,543.763,544.2625,544.2626,545.5071,1044.5,545.5072,5.0,546.5032,2.0,25.0,85.0,0.0,1.0,0.8,0.3,Time
